start_ts,weather_conditions,duration_seconds
2017-11-25 16:00:00,Good,2410.0
2017-11-25 14:00:00,Good,1920.0
2017-11-25 12:00:00,Good,1543.0
2017-11-04 10:00:00,Good,2512.0
2017-11-11 07:00:00,Good,1440.0
2017-11-11 04:00:00,Good,1320.0
2017-11-04 16:00:00,Bad,2969.0
2017-11-18 11:00:00,Good,2280.0
2017-11-11 14:00:00,Good,2460.0
2017-11-11 12:00:00,Good,2040.0
2017-11-18 06:00:00,Good,1500.0
2017-11-04 11:00:00,Good,2040.0
2017-11-11 08:00:00,Good,1470.0
2017-11-04 08:00:00,Good,1546.0
2017-11-11 16:00:00,Good,2100.0
2017-11-25 13:00:00,Good,60.0
2017-11-04 12:00:00,Good,2640.0
2017-11-25 10:00:00,Good,1502.0
2017-11-11 12:00:00,Good,1915.0
2017-11-04 12:00:00,Good,2769.0
2017-11-11 13:00:00,Good,2250.0
2017-11-11 04:00:00,Good,1260.0
2017-11-18 14:00:00,Good,2826.0
2017-11-04 14:00:00,Good,3360.0
2017-11-04 14:00:00,Good,3180.0
2017-11-25 20:00:00,Good,2100.0
2017-11-04 10:00:00,Good,1800.0
2017-11-11 12:00:00,Good,2289.0
2017-11-04 08:00:00,Good,1494.0
2017-11-11 11:00:00,Good,1560.0
2017-11-18 12:00:00,Bad,1980.0
2017-11-11 13:00:00,Good,2115.0
2017-11-11 10:00:00,Good,1506.0
2017-11-04 12:00:00,Good,2580.0
2017-11-04 17:00:00,Bad,2460.0
2017-11-11 09:00:00,Good,1620.0
2017-11-04 06:00:00,Good,1163.0
2017-11-04 05:00:00,Good,1533.0
2017-11-11 04:00:00,Good,1477.0
2017-11-11 19:00:00,Good,1984.0
2017-11-04 13:00:00,Good,2940.0
2017-11-04 07:00:00,Good,1320.0
2017-11-04 06:00:00,Good,1440.0
2017-11-11 06:00:00,Good,1260.0
2017-11-11 08:00:00,Good,1560.0
2017-11-04 09:00:00,Good,1683.0
2017-11-11 05:00:00,Good,1343.0
2017-11-18 06:00:00,Good,1742.0
2017-11-04 09:00:00,Good,1560.0
2017-11-11 08:00:00,Good,1358.0
2017-11-11 12:00:00,Good,1980.0
2017-11-04 16:00:00,Bad,2760.0
2017-11-18 12:00:00,Bad,2460.0
2017-11-25 12:00:00,Good,1380.0
2017-11-18 10:00:00,Bad,1440.0
2017-11-25 14:00:00,Good,1620.0
2017-11-11 08:00:00,Good,1415.0
2017-11-25 05:00:00,Good,1325.0
2017-11-11 19:00:00,Good,1920.0
2017-11-18 06:00:00,Good,2100.0
2017-11-11 08:00:00,Good,1320.0
2017-11-11 10:00:00,Good,1260.0
2017-11-11 06:00:00,Good,1260.0
2017-11-11 08:00:00,Good,1200.0
2017-11-25 08:00:00,Good,1320.0
2017-11-04 18:00:00,Bad,2363.0
2017-11-11 18:00:00,Good,2280.0
2017-11-25 10:00:00,Good,1320.0
2017-11-04 06:00:00,Good,1140.0
2017-11-11 18:00:00,Good,2520.0
2017-11-18 16:00:00,Bad,3000.0
2017-11-11 08:00:00,Good,1140.0
2017-11-04 14:00:00,Good,3084.0
2017-11-11 08:00:00,Good,1380.0
2017-11-11 08:00:00,Good,1380.0
2017-11-04 09:00:00,Good,1380.0
2017-11-04 09:00:00,Good,1380.0
2017-11-11 12:00:00,Good,2213.0
2017-11-04 16:00:00,Bad,3120.0
2017-11-11 15:00:00,Good,4800.0
2017-11-04 05:00:00,Good,1260.0
2017-11-11 06:00:00,Good,1346.0
2017-11-18 11:00:00,Good,2843.0
2017-11-11 10:00:00,Good,1435.0
2017-11-11 17:00:00,Good,2426.0
2017-11-04 09:00:00,Good,1740.0
2017-11-25 07:00:00,Good,2340.0
2017-11-18 05:00:00,Good,2075.0
2017-11-04 04:00:00,Good,1333.0
2017-11-04 11:00:00,Good,2574.0
2017-11-11 12:00:00,Good,2441.0
2017-11-04 14:00:00,Good,3300.0
2017-11-18 07:00:00,Bad,1511.0
2017-11-04 10:00:00,Good,2460.0
2017-11-11 18:00:00,Good,2220.0
2017-11-04 10:00:00,Good,2551.0
2017-11-11 07:00:00,Good,1200.0
2017-11-11 16:00:00,Good,2062.0
2017-11-04 12:00:00,Good,2999.0
2017-11-04 08:00:00,Good,1677.0
2017-11-04 06:00:00,Good,1177.0
2017-11-11 06:00:00,Good,1475.0
2017-11-04 18:00:00,Bad,1980.0
2017-11-04 15:00:00,Good,3201.0
2017-11-25 18:00:00,Good,2760.0
2017-11-11 09:00:00,Good,1380.0
2017-11-11 07:00:00,Good,1380.0
2017-11-18 08:00:00,Bad,1320.0
2017-11-25 08:00:00,Good,1277.0
2017-11-11 04:00:00,Good,1213.0
2017-11-18 13:00:00,Bad,4044.0
2017-11-04 21:00:00,Good,1680.0
2017-11-11 11:00:00,Good,2074.0
2017-11-04 16:00:00,Bad,2782.0
2017-11-11 16:00:00,Good,2591.0
2017-11-04 14:00:00,Good,3120.0
2017-11-11 08:00:00,Good,1260.0
2017-11-11 07:00:00,Good,1380.0
2017-11-11 10:00:00,Good,1440.0
2017-11-04 14:00:00,Good,3300.0
2017-11-04 14:00:00,Good,3240.0
2017-11-04 19:00:00,Good,1869.0
2017-11-11 06:00:00,Good,1218.0
2017-11-11 11:00:00,Good,1620.0
2017-11-11 10:00:00,Good,1380.0
2017-11-11 08:00:00,Good,1380.0
2017-11-11 09:00:00,Good,1380.0
2017-11-11 07:00:00,Good,1320.0
2017-11-11 13:00:00,Good,2123.0
2017-11-11 07:00:00,Good,1384.0
2017-11-11 10:00:00,Good,1260.0
2017-11-04 13:00:00,Good,3060.0
2017-11-18 15:00:00,Good,3480.0
2017-11-11 12:00:00,Good,2071.0
2017-11-18 12:00:00,Bad,3024.0
2017-11-11 11:00:00,Good,1380.0
2017-11-25 06:00:00,Good,1200.0
2017-11-18 13:00:00,Bad,3300.0
2017-11-11 13:00:00,Good,2100.0
2017-11-25 13:00:00,Good,1560.0
2017-11-04 12:00:00,Good,2760.0
2017-11-11 17:00:00,Good,2460.0
2017-11-11 10:00:00,Good,1740.0
2017-11-11 06:00:00,Good,1667.0
