last_price,bedrooms,kitchen_area,living_area,total_area,balconies,ceiling_height,floors_total,floor,bike_parking,is_studio,is_open_plan,airport_dist,city_center_dist
108000.0,2,6.6,31.5,59.0,0,2.87,4,2,0,0,0,20485,8180
264000.0,4,12.2,72.0,109.0,0,3.15,5,2,0,0,0,42683,8643
140000.0,3,10.8,49.0,74.5,0,2.58,10,9,0,0,0,14078,16670
64000.0,1,6.2,20.0,37.4,2,2.5,9,4,0,0,0,17792,17699
133000.0,3,10.4,41.9,64.9,0,2.65,12,11,0,0,0,14767,10573
94000.0,3,7.2,44.0,63.2,1,2.6,9,2,0,0,0,20271,19273
175000.0,2,11.0,32.0,65.0,1,2.65,17,3,0,0,0,35452,15458
152000.0,3,8.0,42.0,72.0,1,2.5,10,5,0,0,0,10402,14768
63800.0,1,7.1,19.0,33.8,0,2.5,9,8,0,0,0,45657,16608
110000.0,2,7.8,31.5,51.2,0,2.9,4,2,0,0,0,14963,10770
150000.0,2,9.5,42.0,74.7,0,3.2,4,3,0,0,0,15295,11102
71000.0,2,7.3,32.0,46.0,0,2.7,5,3,0,0,0,24983,14879
254000.0,4,13.0,65.0,92.0,0,3.2,5,2,0,0,0,23496,3037
388000.0,3,21.3,62.6,117.7,0,3.0,8,5,0,0,0,39393,11096
79980.0,1,10.4,14.47,34.1,0,2.7,25,12,0,0,0,18488,15945
96000.0,2,10.2,32.0,55.0,0,2.7,12,2,0,0,0,21426,23138
82000.0,2,7.1,30.0,45.0,1,2.5,5,4,0,0,0,15080,13621
147600.0,4,12.5,53.0,86.0,0,3.25,7,6,0,0,0,23662,3795
110000.0,2,11.5,33.0,59.0,2,2.7,23,12,0,0,0,21928,17256
1080000.0,6,20.0,170.0,300.0,0,3.0,5,5,0,0,0,24825,5509
52000.0,1,7.2,15.2,29.4,0,2.5,5,1,0,0,0,42415,9700
84000.0,2,6.0,31.0,45.5,0,2.6,5,1,0,0,0,42159,14663
150000.0,3,9.0,50.5,75.5,1,3.56,5,3,0,0,0,21869,4087
89400.0,2,6.0,28.0,44.5,0,2.5,5,1,0,0,0,9822,10869
268000.0,3,16.0,54.0,90.0,0,2.7,13,12,0,0,0,29126,10790
117500.0,2,8.3,39.0,63.3,0,3.0,3,1,0,0,0,25101,3948
94980.0,1,10.0,19.0,42.0,0,2.65,16,15,0,0,0,10596,13971
84000.0,2,7.19,28.15,42.41,0,2.5,9,4,0,0,0,12642,12440
87000.0,1,10.3,20.1,38.4,2,2.6,16,12,0,0,0,10010,13271
460000.0,6,18.0,99.0,150.0,0,3.0,5,2,0,0,0,22149,3959
